Date,24k_1gram,24k_8gram,22k_1gram,22k_8gram,Date_Captured,Time_captured
03/February/2019,3341.00,26728.00,3194.00,25552.00,2019-02-12,17:22:22.408104
04/February/2019,3328.00,26624.00,3181.00,25448.00,2019-02-12,17:22:22.454053
05/February/2019,3328.00,26624.00,3181.00,25448.00,2019-02-12,17:22:22.487686
06/February/2019,3329.00,26632.00,3182.00,25456.00,2019-02-12,17:22:22.525032
07/February/2019,3303.00,26424.00,3156.00,25248.00,2019-02-12,17:22:22.570879
08/February/2019,3297.00,26376.00,3150.00,25200.00,2019-02-12,17:22:22.604135
09/February/2019,3320.00,26560.00,3173.00,25384.00,2019-02-12,17:22:22.638455
10/February/2019,3320.00,26560.00,3173.00,25384.00,2019-02-12,17:22:22.675292
11/February/2019,3297.00,26376.00,3150.00,25200.00,2019-02-12,17:22:22.712703
12/February/2019,3292.00,26336.00,3145.00,25160.00,2019-02-12,17:22:22.746750
13/February/2019,3282.00,26256.00,3135.00,25080.00,2019-02-13,12:56:16.710508
13/February/2019,3288.00,26304.00,3141.00,25128.00,2019-02-13,15:50:58.202634
14/February/2019,3292.00,26336.00,3145.00,25160.00,2019-02-14,15:17:28.367997
15/February/2019,3314.00,26512.00,3167.00,25336.00,2019-02-15,10:41:57.778862
15/February/2019,3320.00,26560.00,3173.00,25384.00,2019-02-15,15:21:09.018253
16/February/2019,3337.00,26696.00,3190.00,25520.00,2019-02-18,12:26:17.660575
17/February/2019,3337.00,26696.00,3190.00,25520.00,2019-02-18,12:26:17.665814
18/February/2019,3343.00,26744.00,3196.00,25568.00,2019-02-18,12:26:17.671111
18/February/2019,3343.00,26744.00,3196.00,25568.00,2019-02-18,15:20:20.218138
19/February/2019,3347.00,26776.00,3200.00,25600.00,2019-02-19,10:37:23.000265
19/February/2019,3358.00,26864.00,3211.00,25688.00,2019-02-19,15:18:22.612274
20/February/2019,3373.00,26984.00,3226.00,25808.00,2019-02-21,12:13:32.124269
21/February/2019,3359.00,26872.00,3212.00,25696.00,2019-02-21,12:13:32.131529
21/February/2019,3353.00,26824.00,3206.00,25648.00,2019-02-21,15:19:35.455055
22/February/2019,3336.00,26688.00,3189.00,25512.00,2019-02-26,15:53:00.615588
23/February/2019,3347.00,26776.00,3200.00,25600.00,2019-02-26,15:53:00.625118
24/February/2019,3347.00,26776.00,3200.00,25600.00,2019-02-26,15:53:00.634932
25/February/2019,3334.00,26672.00,3187.00,25496.00,2019-02-26,15:53:00.643886
26/February/2019,3329.00,26632.00,3182.00,25456.00,2019-02-26,15:53:00.649030
